Cocktail,page,ingredient,amount,units
Aku Aku,39,chunk of fresh pineapple,5,1 inch square
Aku Aku,39,mint leaves,8,leaves
Aku Aku,39,lime juice,1,oz
Aku Aku,39,SC Demerara Syrup,0.5,oz
Aku Aku,39,"natural peach liquer (Mathilde, Combier, or Giffard)",0.5,oz
Aku Aku,39,Rum 2,1.5,oz
Pupule,39,spiral cut orange peel,1,peel
Pupule,39,fresh lime juice,0.75,oz
Pupule,39,fresh orange juice,0.75,oz
Pupule,39,SC Cinnamon Syrup,0.25,oz
Pupule,39,SC Vanilla Syrup,0.25,oz
Pupule,39,St Elizabeth Allspice Dram,0.25,oz
Pupule,39,Rum 4,2,oz
Pupule,39,Angostra,1,dash
Don's Own Grog,40,fresh lime juice,0.75,oz
Don's Own Grog,40,SC Demerara Syrup,0.25,oz
Don's Own Grog,40,SC Grenadine,1,dash
Don's Own Grog,40,Leopold Brother Rocky Mountain Blackberry Liqueur,0.5,oz
Don's Own Grog,40,Rum 3,1,oz
Don's Own Grog,40,Rum 2,0.5,oz
Don's Own Grog,40,Rum 5,0.5,oz
Don's Own Grog,40,Angostra,1,dash
Port Au Prince,40,fresh lime juice,0.5,oz
Port Au Prince,40,pineapple juice,0.5,oz
Port Au Prince,40,SC Demerara Syrup,0.25,oz
Port Au Prince,40,SC Grenadine,1,dash
Port Au Prince,40,John D Taylor Velvet Falernum,0.5,oz
Port Au Prince,40,cane coffey still aged rum,1.5,oz
Port Au Prince,40,Angostra,1,dash
Three Dots and a Dash,43,fresh lime juice,0.5,oz
Three Dots and a Dash,43,fresh orange juice,0.5,oz
Three Dots and a Dash,43,SC honey Syrup,0.5,oz
Three Dots and a Dash,43,John D Taylor Velvet Falernum,0.25,oz
Three Dots and a Dash,43,St Elizabeth Allspice Dram,0.25,oz
Three Dots and a Dash,43,Rhum 8,1.5,oz
Three Dots and a Dash,43,Rum 3,0.5,oz
Three Dots and a Dash,43,Angostra,1,dash
Mexian El Diablo,43,lime wedge,1,wedge
Mexian El Diablo,43,fresh lime juice,0.5,oz
Mexian El Diablo,43,natural cräme de cassis,0.5,oz
Mexian El Diablo,43,blanco tequila,1.5,oz
Mexian El Diablo,43,real ginger ale,4,oz
Port Light,44,egg white,1,oz
Port Light,44,bourbon,2,oz
Port Light,44,fresh lemon juice,1,oz
Port Light,44,SC honey Syrup,0.75,oz
Port Light,44,SC Passion Fruit Syrup,0.5,oz
Demerara Dry Float,44,Rum 6,0.75,oz
Demerara Dry Float,44,fresh lime juice,2,oz
Demerara Dry Float,44,fresh lemon juice,1,tsp
Demerara Dry Float,44,SC Passion Fruit Syrup,1.5,oz
Demerara Dry Float,44,SC Demerara Syrup,0.25,oz
Demerara Dry Float,44,Luxardo Maraschino liqueur,0.25,oz
Demerara Dry Float,44,Rum 3,1.5,oz
Jet Pilot,61,fresh lime juice,0.5,oz
Jet Pilot,61,fresh grapefruit juice,0.5,oz
Jet Pilot,61,SC Cinnamon Syrup,0.5,oz
Jet Pilot,61,John D Taylor Velvet Falernum,0.5,oz
Jet Pilot,61,Rum 5,1,oz
Jet Pilot,61,Rum 3,0.75,oz
Jet Pilot,61,Rum 6,0.75,oz
Jet Pilot,61,Herbstura,1,dash
Halekulani Cocktail,61,fresh lemon juice,0.5,oz
Halekulani Cocktail,61,fresh orange juice,0.5,oz
Halekulani Cocktail,61,pineapple juice,0.5,oz
Halekulani Cocktail,61,SC Demerara Syrup,0.25,oz
Halekulani Cocktail,61,SC Grenadine,0.5,tsp
Halekulani Cocktail,61,bourbon,1.5,oz
Halekulani Cocktail,61,Angostra,1,dash
Sidewinder's Fang,62,Orange Peel,1,peel
Sidewinder's Fang,62,fresh lime juice,1.5,oz
Sidewinder's Fang,62,fresh orange juice,1.5,oz
Sidewinder's Fang,62,SC Passion Fruit Syrup,1.5,oz
Sidewinder's Fang,62,seltzer,3,oz
Sidewinder's Fang,62,Rum 3,1,oz
Sidewinder's Fang,62,Rum 5,1,oz
Hawaiian Sunset,62,fresh lime juice,0.5,oz
Hawaiian Sunset,62,fresh lemon juice,0.5,oz
Hawaiian Sunset,62,SC Orgeat,0.5,oz
Hawaiian Sunset,62,SC Grenadine,1,tsp
Hawaiian Sunset,62,vodka,1.5,oz
Hawaiian Sunset,62,lime peel,1,peel
Captain's Grog,65,fresh lime juice,0.5,oz
Captain's Grog,65,fresh grapefruit juice,0.5,oz
Captain's Grog,65,grade A maple syrup,0.5,oz
Captain's Grog,65,pure vanilla extract,3,drops
Captain's Grog,65,pure almond extract,3,drops
Captain's Grog,65,seltzer,1,oz
